Name,Index Members,Current Market Cap,Cash and Marketable Securities,#N/A No results found,Short and Long Term Debt,Revenue,Gross Profit,EBITDA,Net Income Available to Common,Cash From Operations,Capital Expenditures,Free Cash Flow,Operating Income or Losses,Total Current Assets,Total Assets,Total Current Liabilities,Total Liabilities,Total Equity,Cash from Investing Activities,Cash from Financing Activities,Estimate Comparable Sales,#N/A No results found,Cash and Cash Equivalents,Cost of Revenue,Total Operating Expenses,Comparable EBIT,#N/A No results found,Depreciation & Amortization,Comparable EBITDA,Interest Expense,Interest Income,Other Non-Operating (Income) Loss,Comparable PTP Excluding Stock Based Compensation,Income Tax Expense (Benefit),Estimate Comparable Net Income GAAP,#N/A No results found,#N/A No results found,EBIT,Pre-Tax Income,Estimate Comparable Net Income Adjusted,Preferred Equity and Hybrid Capital,Minority/Non Controlling Interest,Total Capital
DaVita Inc,DVA UN,6719.207225,441.815,1540.208,12036.676,11636.973,3455.883,2185.522,679.77,1750.736,-598.947,1151.789,1472.225,3202.442,16961.799,2537.409,14888.919,2072.88,-753.631,-1673.5,11636.973,1032,367.51,8181.09,10164.748,1511.023,338.5,713.297,2224.364,328.144,#VALUE!,10.356,1133.725,229.265,738.503,-753.631,-1664.591,1472.225,1133.725,793.616,0,1540.208,14109.556
Devon Energy Corp,DVN UN,44765.37819,1310,134,6480,19143,8466,10153,6286,8235,-4819,3416,7978,4009,23557,3460,12550,11007,-4812,-4434,19143,7489,1310,10677,11259,7092,94,2175,9267,369,41,-234,6748,1539,6327,-4812,-4422,7978,7884,5326,0,134,17487
DXC Technology Co,DXC UN,6669.590762,2260,321,6168,15370,3325,#VALUE!,757,#VALUE!,#VALUE!,#VALUE!,#VALUE!,7446,20139,6853,14764,5273,#VALUE!,#VALUE!,15370,648,2260,12045,#VALUE!,1225,#VALUE!,#VALUE!,2850,162,77,#VALUE!,1140,369,757,#VALUE!,#VALUE!,#VALUE!,1141,721,0,321,11441
Dexcom Inc,DXCM UW,45647.98533,2371.9,0,2132.2,2792.8,1814.4,419.9,230,644.6,-381.5,263.1,266.4,3398.5,4899.2,900.5,3074.7,1824.5,-823.5,-565.4,2792.8,263.1,698.1,978.4,1548,412,23.5,153.5,668.9,39.1,4.8,1,317.2,12.9,230,-823.5,-552.3,266.4,242.9,282.7,0,0,3956.7
Electronic Arts Inc,EA UW,36638.60971,1874,0,2224,7285,5459,1863,901,1788,-213,1575,1335,3442,13079,2561,5281,7798,-201,-1678,7531,1865,1539,1826,4124,2293,25,528,2733,49,0,-24,2606,409,901,-201,-1617,1335,1310,1971.06,0,0,10022
eBay Inc,EBAY UW,24631.29563,4736,0,8302,9898,7205,2930,28,1863,-399,1464,2473,5289,19097,3974,14244,4853,6540,-7918,9898,2780,2037,2693,4732,3015,6064,457,3354,#VALUE!,#VALUE!,6064,2141,-753,-2837,6540,-7823,2473,-3591,838,0,0,13155
Ecolab Inc,ECL UN,43279.62285,112.9,27.3,8950.7,13881.2,5262,2468.8,1128.3,1570.1,-729.3,840.8,1551,5099.3,21037,3772.3,13947.1,7089.9,-4447.6,2092.5,13881.2,840.8,112.9,8619.2,#VALUE!,1766.1,179.7,917.8,#VALUE!,225.9,7.2,-39,1548.6,226.6,1128.3,-4447.6,2086.9,1551,1371.3,1292.9,0,27.3,16040.6
Consolidated Edison Inc,ED UN,34604.45041,992,145,25364,15055,11438,#VALUE!,1694,3638,#VALUE!,#VALUE!,#VALUE!,5551,63116,5427,42780,20336,#VALUE!,#VALUE!,15055,#VALUE!,992,3617,#VALUE!,2612.555696,#VALUE!,#VALUE!,4656,941,#VALUE!,#VALUE!,2118.555696,326,1657,#VALUE!,#VALUE!,#VALUE!,1940,1684,0,299,45700
Equifax Inc,EFX UN,24769.08043,241.7,16.6,5882.1,5177.4,3013.7,1690.9,710.2,796.8,-604.5,192.3,1132.1,1294.9,11308,2018.7,7532.4,3775.6,-2765,164.2,5177.4,192.3,241.7,2163.7,4045.3,1073.2,205.6,558.8,1753.8,166.9,1.4,40.1,968,212.4,710.2,-2765,191.8,1132.1,926.5,973.8,0,16.6,9657.7
Edison International,EIX UN,24963.14849,232,3878,31861,16535,10553,3903,720,2539,-5630,-3091,1338,6441,76709,10820,59416,17293,-5602,2771,16535,-3091,232,5982,15197,2737,787,2565,5221,1050,#VALUE!,-263,633,-374,880,-5602,2771,1338,551,1768,3878,0,49154
Estee Lauder Cos Inc/The,EL UN,85345.94137,2938,808,7494,17275,13004,3618,2187,2471,-987,1484,2896,8866,19989,5271,13664,6325,-806,-2722,17277,1484,2938,4271,10108,3048,124,722,4134,171,41,-6,2917,569,2187,-806,-2626,2896,2772,2322,0,808,13819
Elevance Health Inc,ELV UN,125405.9814,35901,52,24693,153247,26854,10668,6213,11589,-1194,10395,8853,55603,103026,41287,66983,36043,-5815,-2392,152011,10395,8872,126393,145232,9239,838,1562,10630,822,#VALUE!,16,8437,1832,6213,-5815,-2375,8853,8015,7058,0,52,60736
Eastman Chemical Co,EMN UN,10547.15318,461,83,5256,10901,2320,2199,1170,948,-648,300,1661,4105,14985,3207,9518,5467,1016,-2220,10901,300,461,8581,#VALUE!,1461,183,482,1943,186,4,6,1237,304,1170,1016,-2204,1661,1478,1019,0,83,10723
Emerson Electric Co,EMR UN,57342.14346,1804,5952,10866,19629,8188,5502,3231,2922,-531,2391,4278,8506,35672,7777,19356,16316,-5334,1862,19600,2391,1804,11441,#VALUE!,4522,193,1039,5317,228,35,0,4686,855,3231,-5334,2048,4278,4085,3231,0,5952,27182
Enphase Energy Inc,ENPH UQ,45893.23684,1417.296,0,1309.429,2018.92,827.208,416.797,296.2,588.276,-43.222,545.054,348.996,1982.664,2697.835,550.236,2087.782,610.053,-810.293,-325.946,2018.92,545.187,337.583,1191.712,478.212,558.628,14.585,56.441,615.069,19.848,5.35,0.087,334.411,38.211,296.2,-810.293,-320.348,348.996,334.411,537.814,0,0,1919.482
EOG Resources Inc,EOG UN,81758.74538,5272,0,5554,25655,17700,13215,7467,10815,-4652,6163,9641,10201,40487,5746,16638,23849,-4496,-5340,25027,6163,5272,7955,15386,9712,100,3574,#VALUE!,175,#VALUE!,-75,9541,2074,7467,-4496,-5340,9641,9541,7945,0,0,29403
EPAM Systems Inc,EPAM UN,21246.63351,1547.815,1.478,197.29,4700.859,1519.637,717.394,406.656,562.649,-116.751,445.898,568.156,2527.986,3735.603,727.957,976.959,2758.644,-362.22,-136.342,4700.859,445.898,1487.599,3181.222,#VALUE!,712.067,102.111,92.723,804.784,#VALUE!,#VALUE!,-1.286,609.956,59.389,406.656,-362.22,-55.125,568.156,466.045,634.738,0,1.478,2955.934
Equinix Inc,EQIX UW,64214.97346,2500.816,-0.286,16023.528,7098.638,3407.402,3106.525,698.856,3095.098,-2315.878,779.22,1168.053,4017.055,29325.866,1695.989,18171.773,11154.093,-3112.123,1133.335,7098.638,1111.613,2500.816,3691.236,5020.15,1264.063,351.354,1724.903,3318.537,342.364,18.936,27.926,816.699,117.884,698.856,-3112.123,1275.269,1168.053,816.699,704.48716,0,-0.286,27177.621
Equity Residential,EQR UN,24303.96482,44.788,624.827,7807.739,2680.607,#VALUE!,1642.725,1141.775,1402.199,-1106.059,296.14,726.66,#VALUE!,20265.405,#VALUE!,8633.131,11632.274,118.305,-1625.786,2680.607,296.14,44.788,#VALUE!,#VALUE!,1515.566,-476.92,890.136,#VALUE!,295.819,0,-776.565,1207.022,0.961,1141.775,#VALUE!,-1625.786,726.66,1203.58,1141.775,37.28,587.547,19440.013
EQT Corp,EQT UN,14784.61263,87.541,39.639,4769.319,6285.82,2097.061,4601.926,1860.316,3572.704,-1395.665,2177.039,2855.568,3902.467,22541.137,6637.902,12882.536,9658.601,-1375.022,-2132.933,7857.555,2136.092,87.541,4188.759,5001.987,1863.907,400.088,1746.358,3610.128,270.494,0,129.594,2455.48,585.823,1860.316,-1375.022,-2132.933,2855.568,2455.48,1251.205,0,39.639,14427.92
Eversource Energy,ES UN,29188.16252,485.716,155.57,21843.935,11741.508,7180.103,3807.006,1391.415,2131.231,-3316.687,-1185.456,2148.735,3919.654,51599.425,5487.161,36164.682,15434.743,-3957.227,2210.123,11741.508,-1185.456,485.716,4561.405,9592.773,2148.735,350.733,1658.271,1792.001333,642.68,#VALUE!,-291.947,1798.002,399.067,1391.415,-3957.227,2210.123,2148.735,1798.002,1391.415,155.57,#VALUE!,37278.678
Essex Property Trust Inc,ESS UN,14194.68356,42.711,207.003,6041.292,1563.227,#VALUE!,1004.088,360.024,1014.117,-334.718,679.399,468.348,#VALUE!,12624.33,#VALUE!,6713.895,5910.435,-371.572,-649.928,1537.622,679.399,42.711,#VALUE!,#VALUE!,514.778,85.458,535.74,1093.73,193.639,0,-15.973,#VALUE!,0,360.024,#VALUE!,-649.928,468.348,382.89,360.024,0,207.003,11951.727
Eaton Corp PLC,ETN UN,64984.17757,518,35,9455,20166,6621,3757,2291,2142,-552,1590,2803,8540,34364,6653,18261,16103,-1059,-1123,20166,2476,231,13545,#VALUE!,3135,119,954,#VALUE!,132,0,-13,2733,391,2491,-1059,-1146,2803,2684,2898,0,35,25558
Entergy Corp,ETR UN,23593.92976,1003.491,317.325,27606.611,13214.192,8351.859,4157.824,1269.102,2099.171,-6486.604,-4387.433,1943.447,5509.805,58975.295,6154.875,46561.619,12413.676,-6686.268,4590.552,13214.192,-4387.433,1003.491,4862.333,11270.745,2540.444,822.043,2214.377,4261.401,1008.757,#VALUE!,28.489,1719.145,-123.468,1255.589,-6686.268,4590.552,1943.447,1121.404,1368,317.325,0,40020.287
Etsy Inc,ETSY UW,17612.70433,1041.155,0,2389.742,2476.009,1748.226,-556.756,-642.279,682.321,-36.174,646.147,-655.655,1352.113,2450.311,497.246,3056.553,-606.242,-53.044,-458.689,2476.04,646.147,789.99,727.783,2403.881,494.352,-10.16,98.899,708.535,9.616,0.216,0,-645.495,-3.216,-642.279,-53.044,-427.828,-655.655,-645.495,-642.279,0,0,1783.5
Evergy Inc,EVRG UN,13438.24816,24.7,6.5,11664,5701.6,4053.3,2316.7,798.6,1793.4,-2192.4,-399,1308.2,1905.7,29247.6,3671.7,19632.1,9615.5,-2205.4,395.8,5701.6,-399,24.7,1648.3,4393.4,1109,404.2,1008.5,1882.5,384.6,#VALUE!,19.6,904,100.7,798.6,-2189.8,395.8,1308.2,904,831.8,#VALUE!,6.5,21279.5
Edwards Lifesciences Corp,EW UN,47513.3184,1738.7,0,686.8,5363.8,4231.8,1812.3,1458.8,1309,-265.5,1043.5,1675.1,3513.9,8638.2,917.9,2420.4,6217.8,-808.3,-768.9,5363.8,-56.2,1247.8,1132,#VALUE!,1713,-9.3,137.2,#VALUE!,#VALUE!,#VALUE!,-5.8,1679.7,225.6,1458.8,-808.3,-808.1,1675.1,1684.4,1475.3,0,0,6904.6
Exelon Corp,EXC UW,41068.65846,446,-744,38663,24041,13858,7270,2129,3012,-7225,-4213,3222,7055,93455,8717,68873,24582,-6092,869,23085,-4213,446,10183,20819,#VALUE!,711,4048,6751,1452,#VALUE!,-577,#VALUE!,497,#VALUE!,-6092,869,3222,2511,2697,0,0,63245
Expeditors International of Wa,EXPD UW,18494.83074,2154.534,9.213,498.418,19026.099,4848.019,2173.507,1590.955,1947.973,-79.945,1868.028,2118.194,5587.556,6607.526,2706.25,3116.133,3491.393,-80.935,-1532.61,19026.099,1868.028,2154.534,14178.08,16907.905,2118.194,-22.49,55.313,2161.8997,0,14.658,-7.832,2140.684,540.805,1592.134,-80.935,-1427.841,2118.194,2140.684,1590.955,0,9.213,3989.811
Expedia Group Inc,EXPE UW,16220.96355,6628,1445,6552,11328,9688,1912,451,3907,-628,3279,1120,9270,21879,11119,18166,3713,-939,-3220,11328,3279,4588,1640,#VALUE!,1454,294,792,2379,301,37,15,1396,263,-403,-939,-2867,1120,826,1043,0,1445,10265
Extra Space Storage Inc,EXR UN,21380.57113,86.991,818.727,7227.366,1844.835,#VALUE!,1355.044,924.855,1171.189,-1990.379,-819.19,1092.605,#VALUE!,11840.645,#VALUE!,7771.347,4069.298,-1662.002,503.886,1844.835,-819.19,86.991,#VALUE!,#VALUE!,1092.605,87.56,270.59,1381.282,191.827,0,-65.006,965.784,19.51,924.855,#VALUE!,503.886,1092.605,1005.045,924.855,0,818.727,11296.664
Ford Motor Co,F UN,55804.45855,40173,-101320,129765,151736,17048,12963,9012,9206,-6573,2633,5454,108088,246919,90167,204830,42089,-1638,-13471,142462,9008,21548,134688,146282,8960,-1582,7509,15294,1379,408,-5087,7581,-1826,9012,-1638,-12622,5454,7036,7719.919,0,-36,171854
Diamondback Energy Inc,FANG UW,26424.05179,27,715,5357,8411,5606,6643,4381,6051,-2833,3218,5344,1031,23843,1678,9285,14558,-2168,-4390,8190,3218,27,2805,3072,5386,-433,1299,6592,151,0,-519,5330,1192,4381,-2168,-4390,5344,5777,4037,0,715,19915
Fastenal Co,FAST UW,29540.09125,231.5,0,808.9,6816.9,3160.3,1597,1072.5,795.5,-172.9,622.6,1421.5,3195.6,4627.4,802.6,1466.2,3161.2,-163.1,-651.4,6816.9,622.6,231.5,3656.6,#VALUE!,1421.5,11.3,175.5,1588.9,11.7,0.4,0,1410.2,337.7,1072.5,-163.1,-635.1,1421.5,1410.2,1072.5,0,0,3970.1
Fortune Brands Home & Security,FBHS UN,8138.243249,345.3,0,3529.6,8044.8,2877,1269.3,752.4,546.7,-276.3,270.4,1079.2,3007.6,8415.6,2047.9,5385.5,3030.1,-482,-181.3,8044.8,288.5,345.3,5167.8,#VALUE!,1118.1,103.1,190.1,1363.6,106.5,0,-3.4,1011.8,223.7,752.4,-482,-152.4,1079.2,976.1,809.4,0,0,6559.7
Freeport-McMoRan Inc,FCX UN,57501.83224,8578,9227,10690,23186,8397,9884,3877,6350,-3137,3213,7812,15373,49927,5999,25746,24181,-3114,-2331,23186,3213,8578,14789,15374,7846,660,2072,10380,594,0,66,7152,2335,3877,-3114,-2331,7812,7152,4114,0,9227,34871
FactSet Research Systems Inc,FDS UN,18046.74498,536.492,0,2220.231,1843.892,972.786,600.965,396.917,538.277,-51.156,487.121,475.482,870.347,4014.305,438.287,2682.897,1331.408,-2033.675,1316.806,1843.917,487.121,503.273,871.106,1368.41,624.395,31.888,86.683,628.179,29.522,0,2.366,539.75,46.677,396.917,-2033.675,1339.234,475.482,443.594,520.279,0,0,3551.639
FedEx Corp,FDX UN,47422.45632,6850,0,37645,94751,20288,10061,3589,9355,-6477,2878,6038,19606,85826,13765,60686,25140,-6575,-2783,94668,2878,6850,74463,88713,6600,1445,4023,9882,618,0,827,6478,1004,3577,-6575,-2536,6038,4593,5220,0,0,62785
FirstEnergy Corp,FE UN,23733.47416,251,438,21258,11942,7740,3230,1236,2544,-2465,79,1735,2312,44851,3493,33613,11238,-2751,-200,11982,79,251,4202,10207,#VALUE!,195,1495,#VALUE!,1032,#VALUE!,-817,#VALUE!,286,1246,-2751,-200,1735,1540,1370,0,464,32496
F5 Inc,FFIV UW,9313.669077,894.11,0,664.671,2695.845,2156.218,566.703,322.16,442.631,-33.624,409.007,403.792,1912.224,5276.194,1839.951,2807.216,2468.978,218.116,-482.873,2695.845,409.007,758.012,539.627,1752.426,720.648,18.399,115.609,836.257,#VALUE!,0,18.399,702.249,63.233,322.16,218.116,-476.508,403.792,385.393,622.63,0,0,3133.649
Fidelity National Information,FIS UN,44177.09869,1932,187,18916,14487,5612,5402,937,3911,-343,3568,1448,10593,78317,13671,32802,45515,-1342,-2364,14487,3121,1932,8875,#VALUE!,4931,155,3954,6297,212,0,-57,4863,347,937,-1342,-1391,1448,1293,4193,0,187,64431
Fiserv Inc,FISV UW,67090.7172,893,817,21375,17363,9148,6273,2081,4328,-1669,2659,3094,19875,75640,18724,44497,31143,-2199,-1346,16432,3352,893,8215,14269,5602,752,3179,7343,709,5,48,4199,445,2081,-2199,-1246,3094,2342,4027,0,817,52518
Fifth Third Bancorp,FITB UW,24250.3778,9662,2116,18870,8630,#VALUE!,#VALUE!,2258,5697,-425,5272,3010,#VALUE!,205463,#VALUE!,188727,16736,-6740,898,8143,5272,3068,#VALUE!,#VALUE!,#VALUE!,#VALUE!,302,#VALUE!,#VALUE!,4449,0,3006,639,2280,-6740,898,#VALUE!,3010,2258,2116,0,35606
FleetCor Technologies Inc,FLT UN,14299.1083,1317.544,0,7221.21,3345.774,#VALUE!,1725.164,954.012,1036.129,-144.706,891.423,1417.663,6586.068,14486.024,6638.165,12258.972,2227.052,-361.891,-382.295,3345.774,891.423,1317.544,#VALUE!,#VALUE!,1624.191,136.955,307.501,1757.564,#VALUE!,#VALUE!,18.26,1502.249,326.696,954.012,-361.891,-275.42,1417.663,1280.708,1241.391,0,0,9448.262
FMC Corp,FMC UN,16894.54898,363.8,15.4,3708.8,5593.9,2255.9,1231,654.2,539.7,-132.1,407.6,1028.4,5110.6,10764.7,3632.2,7561.1,3203.6,-307.1,-209.8,5593.9,424.7,363.8,3338,4565.5,1183,151.8,169,1352,#VALUE!,#VALUE!,11.8,880.9,150.3,675.1,-307.1,-183.2,1028.4,876.6,914.2,0,15.4,6912.4
Fox Corp,FOX UW,17091.80385,4950,257,7701,14121,#VALUE!,2966,1109,2125,-328,1797,2583,8495,22424,2362,10646,11778,-556,-2030,14121,1797,4950,#VALUE!,11538,2784,996,383,2983,342,19,673,1587,449,1109,-556,-2030,2583,1587,1619,0,257,19479
Fox Corp,FOXA UW,17091.80385,4950,257,7701,14121,#VALUE!,2966,1109,2125,-328,1797,2583,8495,22424,2362,10646,11778,-556,-2030,14121,1797,4950,#VALUE!,11538,2784,996,383,2983,342,19,673,1587,449,1109,-556,-2030,2583,1587,1619,0,257,19479
First Republic Bank/CA,FRC UN,23189.44892,5532,3633,13827,6206.4,#VALUE!,#VALUE!,1530.4,1209.183,-212.193,996.99,2131.4,#VALUE!,205109,#VALUE!,187990,17119,-38507.75,30550.874,5796,996.99,5532,#VALUE!,#VALUE!,#VALUE!,#VALUE!,191.883,#VALUE!,#VALUE!,4417,0,2130,451,1529,-38507.75,30550.874,#VALUE!,2131.4,1529,3633,0,30946
Federal Realty Investment Trus,FRT UN,8924.921866,146.214,426.693,4442.795,1048.475,#VALUE!,717.37,376.697,511.694,-822.863,-311.169,416.556,#VALUE!,8217.007,#VALUE!,5049.368,3167.639,-668.427,127.464,1047.676,-311.169,146.214,#VALUE!,#VALUE!,518.801,21.845,301.06,819.861,130.894,1.071,-102.84,#VALUE!,0,376.697,-1255.428,124.549,416.556,394.711,378.707,159.997,266.696,7610.434
Fortinet Inc,FTNT UW,42155.49444,1730.4,11.9,989.9,4098,3082.1,936.6,742.5,1569.3,-401.6,1167.7,826.7,2982.2,5335.9,2779.6,5958.7,-622.8,280.6,-2738,4098,2156,964,1015.9,2255.4,1065.2,32.1,102.3,1243.6,18,9.3,23.4,916.7,25.3,773.6,280.6,-2736.5,826.7,794.6,824.986,0,11.9,367.1
Fortive Corp,FTV UN,24193.40737,705.3,4.9,3558.9,5670.6,3264.9,1366.1,693,1113.6,-81.7,1031.9,898.1,2447.9,15893.1,2592.1,6497.4,9395.7,-1500.3,253.6,5670.6,1240.3,705.3,2405.7,#VALUE!,898.1,105.9,453,1351.1,91.4,0,14.5,792.2,96.3,695.9,-1500.3,298.7,898.1,792.2,1108,0,4.9,12954.6
General Dynamics Corp,GD UN,70410.82419,2496,0,13122,38848,6557,5054,3350,5592,-1005,4587,4170,21005,51116,15659,33465,17651,-1379,-4856,38848,4587,2496,32291,34678,4170,213,884,5054,#VALUE!,#VALUE!,-159,3957,607,3350,-1379,-4856,4170,3957,3350,0,0,30773
General Electric Co,GE UN,94898.22629,52517,-744,32910,75073,19007,5888,-6088,3849,-1312,2537,2321,60082,180877,54657,148124,32753,22674,-38603,74427,4293,12596,56066,79488,#VALUE!,6612,3567,#VALUE!,1616,0,4996,2930,579,-5168,22674,-37903,2321,-4291,2404,6,1278,65663
Gen Digital Inc,GEN UW,15544.70341,1095,0,10123,2873,2446,1095,591,783,-8,775,933,1622,15882,2825,14184,1698,-6533,5319,2874,775,1095,427,1513,1531,152,147,1678,142,5,16,954,190,591,-6533,5349,933,781,1065,0,0,11821
Gilead Sciences Inc,GILD UW,111539.9055,6942,-24,25223,27136,20248,8113,3334,9710,-703,9007,6003,13554,62557,10423,41500,21057,-2369,-7004,27136,9007,4699,6888,21133,10988,1461,2110,#VALUE!,947,0,514,5188,1233,3818,-2369,-6857,6003,4542,7918,0,-24,46280
General Mills Inc,GIS UN,51233.99713,594.4,250.8,11561.9,19170.5,6252.5,4275.9,2900.3,3335.1,-555.6,2779.5,3717.1,5134,31107.2,8595.5,20281.6,10825.6,-127,-3367.7,19170.5,2779.5,594.4,12918,#VALUE!,3275.3,265.9,558.8,3700.5,#VALUE!,#VALUE!,-105.5,3323.5,633.5,2900.3,-127,-3307.3,3717.1,3451.2,2476,0,250.8,22387.5
Globe Life Inc,GL UN,11801.79706,85.586,0,2062.284,5189.597,#VALUE!,#VALUE!,706.097,1428.045,-27.28,1400.765,951.542,#VALUE!,24838.788,#VALUE!,20477.19,4361.598,-974.965,-463.819,5129.996,1400.765,85.586,#VALUE!,4323.445,#VALUE!,#VALUE!,#VALUE!,#VALUE!,85.39,#VALUE!,0,866.152,160.055,706.097,-974.965,-473.393,951.542,866.152,757.74,0,0,6423.882
Corning Inc,GLW UN,28673.00694,1630,264,7478,14459,4862,3320,1839,3021,-1824,1197,1835,7804,28735,5167,17187,11548,-1585,-2018,14886,1291,1630,9597,#VALUE!,2171,-512,1485,3594,289,12,-785,1779,469,1839,-1585,-1892,1835,2347,1857,0,264,19026
General Motors Co,GM UN,56472.69728,30311,-82001,112607,147211,27406,20681,8627,17228,-9132,8096,9224,98271,260530,86004,190762,69768,-16387,1007,147211,12409,20745,119805,137987,13513,-2021,11457,#VALUE!,946,289,-1778,7162,1778,7910.001703,-16387,1231,9224,11245,10035,#VALUE!,4499,182375
Generac Holdings Inc,GNRC UN,6459.81869,229.911,88.011,1355.5,4582.576,1541.376,780.666,471.382,19.4,-87.369,-67.969,634.583,2313.269,5246.293,1105.13,2839.752,2406.541,-355.596,142.381,4582.576,190.246,229.911,3041.2,906.793,634.583,46.998,146.083,872.046,44.832,#VALUE!,3.189,587.585,106.644,471.382,-355.596,145.346,634.583,587.585,602.848,0,88.011,3762.041
Alphabet Inc,GOOG UW,1302022.006,116259,0,29336,282113,158264,97358,66990,92815,-30273,62542,78567,166109,358255,65979,104629,253626,-25087,-69463,232655,62542,21984,123849,203546,78567,-16,15166,98113,384,1893,861,78583,11593,65174,-25087,-68639,78567,78583,#VALUE!,0,0,282962
Alphabet Inc,GOOGL UW,1302087.299,116259,0,29336,282113,158264,97358,66990,92815,-30273,62542,78567,166109,358255,65979,104629,253626,-25087,-69463,232655,62542,21984,123849,203546,78567,-16,15166,98113,384,1893,861,78583,11593,65174,-25087,-68639,78567,78583,67983.82,0,0,282962
Genuine Parts Co,GPC UN,26439.5211,629.198,13.741,4042.792,21375.532,7459.862,1937.137,1186.724,1494.68,-371.928,1122.752,1604.721,8823.198,16377.08,7495.119,12698.888,3678.192,-1923.224,138.645,21375.532,1122.752,629.198,13915.67,5855.141,1576.438,23.596,332.416,1980.42,72.615,0,-49.019,1570.689,394.401,1186.724,-1923.224,215.226,1604.721,1581.125,1152.246,0,13.741,7720.984
Global Payments Inc,GPN UN,27878.35774,1993.84,212.376,13888.587,8916.512,5097.809,2240.464,70.641,2287.723,-605.828,1681.895,553.497,5453.352,43938.749,5676.685,21065.794,22872.955,-1484.886,-1113.958,8054.219,1681.895,1993.84,3818.703,8363.015,3468.914,387.051,1686.967,4639.904,412.638,0,-25.587,3085.731,156.683,70.641,-1484.886,-899.751,553.497,166.446,2540.975,0,212.376,36761.542
Garmin Ltd,GRMN UN,18077.7421,2697.393,0,100.181,4945.518,2833.909,1239.203,966.881,588.556,-304.613,283.943,1075.788,3968.123,7627.606,1442.923,1749.417,5878.189,-482.812,-662.529,4945.518,153.265,1082.338,2111.609,1758.121,1112.869,31.854,163.415,1395.617,#VALUE!,33.525,-5.071,1058.576,77.486,966.448,-482.812,-620.182,1075.788,1043.934,1032.487,0,0,5978.37
Goldman Sachs Group Inc/The,GS UN,134127.2404,663721,10703,673923,61635,#VALUE!,31767,13388,48602,-4113,44489,16981,#VALUE!,1555994,#VALUE!,1436704,119290,-83606,107425,49411,44489,284251,#VALUE!,30343,#VALUE!,#VALUE!,2216,#VALUE!,#VALUE!,19623,0,16981,3111,13388,-83606,107425,29205,16981,13388,10703,0,793213
WW Grainger Inc,GWW UN,30480.26055,315,254,2682,14785,5596,2295,1443,1186,-266,920,2088,4686,7201,1785,4639,2562,-258,-941,14785,920,315,9189,#VALUE!,2088,66,207,2295,92,0,-26,2022,505,1437,-258,-917,2088,2022,1444,0,254,5244
Halliburton Co,HAL UN,35341.1789,1977,24,8954,18992,2884,3216,1740,1761,-977,784,2281,10411,22563,4968,14918,7645,-804,-1612,18992,1053,1977,16108,16711,2647,595,935,3582,504,95,186,2011,-71,1740,-804,-1483,2281,1686,1620,0,24,16599
Hasbro Inc,HAS UW,8781.270698,551.6,23,4103.8,6191.6,4177.3,1043.6,414.6,394.5,-165.3,229.2,704.9,3260.5,9626.1,2356.9,6627.1,2999,-301.3,-718,6191.6,229.2,551.6,2014.3,#VALUE!,873.2,191.3,249.2,1152.4,167.6,9.2,32.9,535.4,97.2,414.6,-301.3,-679.3,704.9,513.6,604.6,0,23,7102.8
Huntington Bancshares Inc/OH,HBAN UW,22311.88547,4592,2202,10594,7294,#VALUE!,#VALUE!,1885,3167,-255,2912,2461,#VALUE!,179402,#VALUE!,162231,17171,-15097,6561,6960,2912,1685,#VALUE!,#VALUE!,#VALUE!,#VALUE!,447,#VALUE!,#VALUE!,4452,0,2461,459,1909,-15097,6561,#VALUE!,2461,1885,2167,35,27765
HCA Healthcare Inc,HCA UN,67724.78635,999,2592,39472,59800,#VALUE!,11973,5376,8438,-4264,4174,9026,13481,51484,9784,52262,-778,-4310,-4156,59800,4174,999,#VALUE!,#VALUE!,9090,1162,2947,12037,1686,0,-460,7960,1671,5376,-4310,-4124,9026,7864,5464,0,2592,38694
Home Depot Inc/The,HD UN,334445.8869,2462,0,49937,157291,52714,27062,17095,13206,-3045,10161,24112,33681,76866,24280,75568,1298,-3082,-12729,157291,10161,2462,104577,28602,24112,1477,2950,25735,1507,30,0,22635,5540,17095,-3082,-12558,24112,22635,17095,0,0,51235
Hess Corp,HES UN,44467.32873,2384,635,9070,10627,6065,5208,1864,3591,-2441,1150,3611,4123,21643,2312,13449,8194,-2418,-1208,10713,1150,2384,4562,6160,#VALUE!,371,1597,#VALUE!,490,0,-119,3240,1019,1864,-2418,-1208,3611,3240,1919,0,635,17264
Hartford Financial Services Gr,HIG UN,24165.97602,285,345,4356,22162,#VALUE!,#VALUE!,1934,4128,-163,3965,2651,#VALUE!,71801,#VALUE!,58846,12955,-1423,-2875,22162,3965,285,#VALUE!,19736,#VALUE!,#VALUE!,2438,#VALUE!,225,#VALUE!,0,2582,471,1934,-1423,-2871,2651,2426,2470,345,0,17311
Huntington Ingalls Industries,HII UN,9574.853341,117,0,3206,10541,1474,934,576,436,-285,151,580,2817,10615,2892,7567,3048,-290,-584,10541,151,117,9067,#VALUE!,580,-127,354,902,105,0,-232,707,131,576,-290,-584,580,707,570,0,0,6254
Hilton Worldwide Holdings Inc,HLT UN,38288.46031,1282,-1,9517,8165,7233,2091,1074,1312,-37,1275,1923,2976,15508,3365,16422,-914,-121,-1234,8165,1275,1282,932,6243,1996,355,168,2371,390,0,-39,1590,496,1073,-121,-1209,1923,1568,1125,0,-1,8603
